Entry,USVI_118_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_108_B,UVI_132_B,UVI_092_C,UVI_094_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_106_D,M_d6_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,M_d6_B,O_d1_B,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Past_d7_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C
A0A023I7E1,147,4,6,26,0,0,1.266,13.977,1,57.861,3,7,55.634,1,16,4,5,7,0,409.998,315.626,11,62,46,0,0,0,0,0,0,0,4,0,0,0,19.942,50.152,81.123,51.11,98.89
A0A067XMP1,173,47,63,122,5,0,153,163,344,976,655,1010,1260,16,2084.768,1090.273,1081,18,0,369,352,156,50,62,0,0,0,0,0,0,0,12,3,4,16,970,1433,1442,1296,1046
A0A078IS66,3,141,88,192,0,0,0,0,0,0,0,28,1,0,0,0,0,1,0,6,28.336,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
A0A078ISJ6,156,51,41,144,1,0,0,0,5,6,0,8,0,0,1,3,5,4,0,337,372,100,123,43,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,3
A0A0A0RM07,13,188,158.193,451,8,0,21,36,2,4.061,1,15,1,3,312.019,177,224,13,1,33,121,39,7,3,0,1,0,0,0,0,0,36,9.696,3,10,370,568,484,251,596
A0A0B6VQ48,50,6,0,15,0,0,1,0,11,22,24,71,28,0,46,29,27,5.284,0,103,187,72,10,26,0,0,0,0,0,0,0,0,88,86,155,65,93,92,36,94
A0A0H2VDN9,33,285,193,501,13,4,17,3,10,6,3,8,6,4,64.601,53,44,6,0,107,152,82,23,45,0,0,0,0,0,0,0,88,13,18,2,8,12,12,6,14
A0A0I9QGZ2,45,19,8,36,0,0,1,1,1,9,0,17,5,7,88,42,30,10,0,398,329,139,77,24,0,0,0,0,0,0,0,0,3,0,2,6,15,3,4,6
A0A0P0X004,6,9,2,32,0,0,0,3,3,3,1,0,0,1,0,0,0,3,0,64,34,13,0,3,0,0,0,0,0,0,0,0,8,20,9,9,14,22,0,37
A0A0R4I9Y1,2,28,17,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
A0A0R4IBK5,93.933,42,39.497,138,2,0,20.067,25.448,35.054,365.935,116.636,232.405,331.631,6,80.767,24.188,25.857,9,0,546.108,436.706,178.739,122.778,38.062,0,0,0,0,0,0,0,33,0,0,0,67.99,209.667,269.561,152.611,279.588
A0A0R4IKJ1,123,139.322,111,237.223,4,0,15,34,41,143,88,146,184,6,273,163.579,99,6.022,0,545,627,263,148,63,0,0,0,0,0,0,0,20.55,248,320,302,214,314,237,232,210
A0A125YHX7,168,304,225.002,657,90,112,1,7,0,4,4,4,2,2,20,12,9,95.997,0,832,688,337,220,52,453,168,298,275,277,207,0,55,1,0,0,17,41,88,14,67
A0A125YZN2,221,220,210,428,3,0,4,8,1,5,1,14,3,6,32,9,6,18,0,827,914,416,385,136,0,0,0,0,0,0,0,54,30,19,7,23,63,24,15,36
A0A140JWS7,19,19,5,21,1,0,3,9,0,8.699,5,14,8,0,9.276,23.774,4,0,0,41,69,34,3,9,0,0,0,0,0,0,0,10,10,8,2,56,34,24,73.901,55.969
A0A168WVR6,5,58,30,96,2,0,0,0,0,0,0,0,0,0,4,0,1,1,0,15,10,16,6,3,0,0,0,0,0,0,0,10,2,0,6,0,1,0,0,5
A0A1B4XBG9,73,149,72,205,1,0,0,6,20,59,33,34,36,1,17.135,5,5,23,0,201,284,112,69,35,0,0,0,0,0,0,0,45,23,27,20,40,89,17,36,71
A0A1P8AUY4,70.05,40,27,96,0,0,1,4,2,53,0,11,31,0,25,1,7,0,0,62.359,105.46,75.141,9.979,15,0,0,0,0,0,0,0,0,2,2,6,8,19,60,13,127.803
A0A1U8QWA2,6,13,13,24,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,43,50,20,6,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
A0A1W2P872,46,55,41,130,0,0,1,0,0,1,1,5,2,0,16,10,5,1,0,304,314,138,78,29,0,0,0,0,0,0,0,36,0,0,0,1,6,5,2,1
A0A250YGJ5,417,229,139,379,3,0,1,0,0,6,1,2,4,1,2,6,1,17,0,2552.624,1995.829,885.749,1771,299.469,0,0,0,0,0,0,0,10,6,2,0,1,8,0,0,4
A0A286R227,43,54,53,174,14,0,0,0,1,3,3,8,3,3,20,5,5,0,0,238.388,215.119,74,58,15,0,0,0,0,0,0,0,23,2,4,2,1,4,1,9,6
A0A2I0BVG8,233,242,254,555,6,0,20,47,27.637,171.117,38.842,133.716,140.271,6,189.422,68.121,70,18,2,879,869,399,349,74,0,0,0,0,0,0,0,43,92.503,104.368,61.816,166.9,304.024,356.025,224.854,459.574
A0A2N6JFX7,17,57,36,127,0,1,49,99,109,328,208,346.996,342,5,694,377,286,0,0,220,252,75,25,19,0,0,0,0,0,0,0,29,649,843,649,423,846,678,903,577
